address,lat,long,district
"69, Ngõ 258 Phố Tân Mai, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.98,105.854,hoàng mai
"69, Ngõ 509 Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, 0914663166, Việt Nam",20.993,105.753,nam từ liêm
"69, Ngõ Hà Trung, Hàng Bông, Phường Hàng Bông, Quận Hoàn Kiếm, Thành phố Hà Nội, 111103, Việt Nam",21.03,105.845,hoàn kiếm
"69, Phố Nguyễn Đình Thi, Thuỵ Khuê, Phường Thuỵ Khuê, Quận Tây Hồ, Thành phố Hà Nội, 124302, Việt Nam",21.044,105.824,tây hồ
"697, Đường Lạc Long Quân, Nhật Tân, Phường Phú Thượng, Quận Tây Hồ, Thành phố Hà Nội, 11200, Việt Nam",21.08,105.817,tây hồ
"6A Linh Đàm, Phố Nguyễn Duy Trinh, Khu đô thị Linh Đàm, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.964,105.832,hoàng mai
"6_1_53, Đông Ngạc, Quận Bắc Từ Liêm, Thành phố Hà Nội, 124115, Việt Nam",21.093,105.78,bắc từ liêm
"7, Ngõ 113 Hoàng Cầu, Phường Ô Chợ Dừa, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.015,105.822,đống đa
"7, Ngõ 114 Tây Trà, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.976,105.883,hoàng mai
"7, Ngõ 143 Nguyễn Chính, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.98,105.853,hoàng mai
"7, Ngõ 647 Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội, 124224, Việt Nam",21.068,105.811,tây hồ
"7, Ngõ 69 Phố Hoàng Như Tiếp, Bồ Đề, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.042,105.877,long biên
"7, Ngõ 83 Phúc Lợi, Hội Xá, Phường Phúc Lợi, Quận Long Biên, Thành phố Hà Nội, 08443, Việt Nam",21.053,105.921,long biên
"7, Phố Bảo Linh, Phúc Tân, Phường Phúc Tân, Quận Hoàn Kiếm, Thành phố Hà Nội, 111501, Việt Nam",21.037,105.854,hoàn kiếm
"7, Phố Vạn Phúc, Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.033,105.818,ba đình
"7, Đường 72, Xã La Phù, Huyện Hoài Đức, Thành phố Hà Nội, 0914663166, Việt Nam",20.992,105.731,
"70, Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.024,105.827,đống đa
"706, Phố Ngọc Lâm, Phường Gia Thụy, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.051,105.884,long biên
"709, Đường Nguyễn Văn Linh, Tổ 11 Sài Đồng, Sài Đồng, Phường Sài Đồng, Quận Long Biên, Thành phố Hà Nội, 126227, Việt Nam",21.03,105.915,long biên
"709, Đường Tam Trinh, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.977,105.866,hoàng mai
"71 Xã Đàn, Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.012,105.836,đống đa
"71, Ngách 264/21 Âu Cơ, Nhật Tân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.077,105.825,tây hồ
"71, Ngách 27/9 Tây Mỗ, Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, 0914663166, Việt Nam",21.005,105.752,nam từ liêm
"71, Ngõ 99 Định Công Hạ, Hoàng Mai, Thành phố Hà Nội, 11718, Việt Nam",20.98,105.828,hoàng mai
"71, Phố Núi Trúc, Kim Mã, Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội, 118443, Việt Nam",21.03,105.823,ba đình
"71, Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.012,105.821,đống đa
"71, Phố Trần Hữu Tước, Phường Nam Đồng, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.016,105.83,đống đa
"71, Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, 10298, Việt Nam",21.024,105.811,đống đa
"71, Đường Nườc Phấn Lan, Từ Liên, Phường Tứ Liên, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.065,105.834,tây hồ
"72 Đặng Xuân Bảng, Đặng Xuân Bảng, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.972,105.83,hoàng mai
"72, Phố Vũ Phạm Hàm, Quận Cầu Giấy, Thành phố Hà Nội, 0000000, Việt Nam",21.016,105.798,cầu giấy
"73 Văn Cao - Đối diện Cung thể thao Quần Ngựa, Đường Văn Cao, Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội, 11150, Việt Nam",21.04,105.816,ba đình
"73, Ngõ 173 Đường Hoàng Hoa Thám, Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.039,105.823,ba đình
"73, Phố Gia Quất, Phường Thượng Thanh, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.053,105.878,long biên
"73, Phố Vạn Bảo, Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội, 118443, Việt Nam",21.032,105.817,ba đình
"73, Đường Nguyễn Sơn, Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.047,105.878,long biên
"74, Ngõ 28 Phố Đại Linh, Phường Trung Văn, Quận Nam Từ Liêm, Thành phố Hà Nội, 0914663166, Việt Nam",20.996,105.773,nam từ liêm
"74, Ngõ 885 Tam Trinh, Gelexia Riverside, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.971,105.872,hoàng mai
"74, Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, 0914663166, Việt Nam",21.004,105.75,nam từ liêm
"748, Đường Trương Định, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 1000000, Việt Nam",20.98,105.844,hoàng mai
"75, Đường 72, Xã La Phù, Huyện Hoài Đức, Thành phố Hà Nội, 0914663166, Việt Nam",20.99,105.728,
"75, Đường Tân Triều, Thanh Trì, Thành phố Hà Nội, 1000001, Việt Nam",20.98,105.804,
"76, Ngõ 279 Đội Cấn, Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.039,105.822,ba đình
"76, Phố Bà Triệu, Hàng Bài, Phường Hàng Bài, Quận Hoàn Kiếm, Thành phố Hà Nội, 084 04, Việt Nam",21.02,105.85,hoàn kiếm
"76, Phố Nguyễn Chính, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.98,105.848,hoàng mai
"76, Đường 72, Quận Hà Đông, Thành phố Hà Nội, 0914663166, Việt Nam",20.994,105.738,hà đông
"77 Lò Đúc, Phố Lò Đúc, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Thành phố Hà Nội, 043, Việt Nam",21.015,105.857,hai bà trưng
"77, Phố Nhật Chiêu, Nhật Tân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, 11200, Việt Nam",21.071,105.814,tây hồ
"771 - 773 Nguyễn Hoàng Tôn, Đường Nguyễn Hoàng Tôn, Phường Xuân Đỉnh, Phường Xuân Tảo, Quận Bắc Từ Liêm, Thành phố Hà Nội, 124224, Việt Nam",21.078,105.789,bắc từ liêm
"78-80A Khâm Thiên, Phố Khâm Thiên, Phường Thổ Quan, Phường Khâm Thiên, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.019,105.838,đống đa
"79, Phố Đặng Văn Ngữ, Phường Trung Tự, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.01,105.831,đống đa
"794 Đường Láng, Đường Láng, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội, 000000, Việt Nam",21.018,105.803,đống đa
"7A Linh Đàm, Nam Sơn, Khu đô thị Linh Đàm, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.963,105.83,hoàng mai
"8, Nam Sơn, Khu đô thị Linh Đàm, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.963,105.835,hoàng mai
"8, Ngõ 156 Tam Trinh, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.968,105.867,hoàng mai
"8, Ngõ 250 Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội, 120911, Việt Nam",20.993,105.816,thanh xuân
"8, Ngõ 44 Tư Đình, Tự Đình, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.029,105.885,long biên
"8, Ngõ 53, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội, 122000, Việt Nam",21.045,105.786,bắc từ liêm
"8, Ngõ 677 Lạc Long Quân, Tây Hồ, Phường Phú Thượng, Quận Tây Hồ, Thành phố Hà Nội, 124224, Việt Nam",21.072,105.812,tây hồ
"8, Phố Hàng Mắm, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Thành phố Hà Nội, 110905, Việt Nam",21.034,105.855,hoàn kiếm
"8, Phố Hàng Quạt, Hàng Gai, Phường Hàng Gai, Quận Hoàn Kiếm, Thành phố Hà Nội, 111000, Việt Nam",21.033,105.85,hoàn kiếm
"8, Phố Hồ Đắc Di, Phường Nam Đồng, Phường Quang Trung, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.012,105.829,đống đa
"8, Phố Kim Quan, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.06,105.898,long biên
"8, Phố Trịnh Công Sơn, Nhật Tân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, 11200, Việt Nam",21.079,105.819,tây hồ
"8/273, Ngõ 273 Cổ Nhuể, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Thành phố Hà Nội, 04, Việt Nam",21.064,105.779,bắc từ liêm
"80 cầu đất, 80, Phố Cầu Đất, Chương Dương, Phường Chương Dương, Quận Hoàn Kiếm, Thành phố Hà Nội, 110070, Việt Nam",21.025,105.861,hoàn kiếm
"80, Phố Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, 100999, Việt Nam",21.048,105.842,ba đình
"80, Đường Hồ Tùng Mậu, Quận Cầu Giấy, Thành phố Hà Nội, 122863, Việt Nam",21.037,105.777,cầu giấy
"81, Linh Quang, Phường Văn Chương, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 111103, Việt Nam",21.023,105.837,đống đa
"81, Ngách 76/35 An Dương, Yên Phụ, Phường Tứ Liên, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.06,105.839,tây hồ
"81, Ngõ Dầm Trị, Quảng An, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội, 11200, Việt Nam",21.061,105.82,tây hồ
"81, Đường Trường Chinh, Quận Thanh Xuân, Thành phố Hà Nội, 1000000, Việt Nam",20.998,105.839,thanh xuân
"82, Ngách 177/84, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.98,105.835,hoàng mai
"82, Phố Hoàng Như Tiếp, Bồ Đề, Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.043,105.876,long biên
"82, Phố Triều Khúc, Quận Thanh Xuân, Thanh Trì, Thành phố Hà Nội, 1000001, Việt Nam",20.984,105.8,
"82, Đường La Thành, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.02,105.829,đống đa
"82, Đường tỉnh 427, Huyện Thường Tín, Thành phố Hà Nội, Việt Nam",20.869,105.84,
"83, Ngõ 509 Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, 0914663166, Việt Nam",20.993,105.754,nam từ liêm
"83, Phố Giang Văn Minh, Kim Mã, Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.034,105.827,ba đình
"83, Phố Ngọc Lâm, Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, 125041, Việt Nam",21.045,105.868,long biên
"83, Phố Tây Sơn, Phường Quang Trung, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.012,105.826,đống đa
"837, Đường Hồng Hà, Chương Dương, Phường Chương Dương, Quận Hoàn Kiếm, Thành phố Hà Nội, 110070, Việt Nam",21.026,105.86,hoàn kiếm
"83A Trường Chinh, Đường Trường Chinh, Quận Thanh Xuân, Thành phố Hà Nội, 1000000, Việt Nam",20.998,105.838,thanh xuân
"84, Ngõ 566 Lạc Long Quân, Nhật Tân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, 11200, Việt Nam",21.074,105.815,tây hồ
"84, Phố Yên Phụ, Yên Phụ, Phường Yên Phụ, Quận Tây Hồ, Thành phố Hà Nội, 124302, Việt Nam",21.053,105.837,tây hồ
"85 Quang Trung (Hà Đông), Đường Quang Trung, Hà Đông, Quận Hà Đông, Thành phố Hà Nội, 193824, Việt Nam",20.971,105.776,hà đông
"85, Ngõ 85 Láng Hạ, Thành Công, Phường Thành Công, Quận Ba Đình, Thành phố Hà Nội, +842435373535, Việt Nam",21.018,105.816,ba đình
"85, Phố Nguyễn Đình Thi, Thuỵ Khuê, Phường Thuỵ Khuê, Quận Tây Hồ, Thành phố Hà Nội, 124302, Việt Nam",21.044,105.823,tây hồ
"85, Phố Đại La, Phường Trương Định, Quận Hai Bà Trưng, Thành phố Hà Nội, 11617, Việt Nam",20.996,105.848,hai bà trưng
"854, Đường Tam Trinh, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.974,105.866,hoàng mai
"86, Ngách 124/84 Âu Cơ, Từ Liên, Phường Tứ Liên, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.065,105.836,tây hồ
"86, Ngõ 34 Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 100100, Việt Nam",21.02,105.823,đống đa
"86, Ngõ 46 Phố Trần Quốc Hoàn, Quận Cầu Giấy, Thành phố Hà Nội, 122000, Việt Nam",21.042,105.785,cầu giấy
"86, Phố Thanh Am, Phường Thượng Thanh, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.074,105.901,long biên
"87, Ngõ 85 Định Công Thượng, Hoàng Mai, Thành phố Hà Nội, 11718, Việt Nam",20.983,105.82,hoàng mai
"87, Ngõ 87 Yên Duyên, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.972,105.871,hoàng mai
"87, Đường Bát Khối, Long Biên, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.025,105.885,long biên
"87, Đường Phúc Diễn, Phường Phúc Diễn, Phường Xuân Phương, Quận Bắc Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.04,105.76,bắc từ liêm
"88 La Thành (Sơn Tây), Đường La Thành, Thị xã Sơn Tây, Thành phố Hà Nội, Việt Nam",21.143,105.508,
"88 lounge, Đường Xuân Diệu, Quảng An, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội, 124415, Việt Nam",21.062,105.831,tây hồ
"88, Phố Phạm Ngọc Thạch, Phường Trung Tự, Quận Đống Đa, Thành phố Hà Nội, +844, Việt Nam",21.007,105.832,đống đa
"88, Phố Trần Quý Cáp, Phường Văn Miếu, Quận Đống Đa, Thành phố Hà Nội, 111103, Việt Nam",21.024,105.84,đống đa
"89, Phố Trịnh Công Sơn, Nhật Tân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, 11200, Việt Nam",21.078,105.818,tây hồ
"89, Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, 10298, Việt Nam",21.021,105.809,đống đa
"8B Lê Trực, 8B, Phố Lê Trực, Điện Biên, Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội, 118508, Việt Nam",21.032,105.832,ba đình
"9, Ngõ 37 Đại Đồng, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.998,105.883,hoàng mai
"9, Ngõ 85 Đường Bát Khối, Tự Đình, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.026,105.885,long biên
"9, Phố Hàn Thuyên, Phường Phan Chu Trinh, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Thành phố Hà Nội, 043, Việt Nam",21.019,105.858,hai bà trưng
"9, Phố Quan Nhân, Quận Thanh Xuân, Thành phố Hà Nội, 123025, Việt Nam",21.008,105.813,thanh xuân
"9, Phố Trần Thánh Tông, Phường Bạch Đằng, Quận Hai Bà Trưng, Thành phố Hà Nội, 11415, Việt Nam",21.014,105.86,hai bà trưng
"9, Đường 72, Quận Hà Đông, Thành phố Hà Nội, 0914663166, Việt Nam",20.995,105.74,hà đông
"9, Đường Phương Canh, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.035,105.751,nam từ liêm
"9-12/03, Vườn Đào, Tây Hồ, Phường Phú Thượng, Quận Tây Hồ, Thành phố Hà Nội, 124224, Việt Nam",21.078,105.814,tây hồ
"90 Khuất Duy Tiến, Đường Khuất Duy Tiến, Quận Thanh Xuân, Thành phố Hà Nội, 1000001, Việt Nam",20.996,105.8,thanh xuân
"90, Phố Hai Bà Trưng, Cửa Nam, Phường Cửa Nam, Hoàn Kiếm, Quận Hoàn Kiếm, Thành phố Hà Nội, 111103, Việt Nam",21.027,105.844,hoàn kiếm
"90, Đường Nguyễn Tuân, Quận Thanh Xuân, Thành phố Hà Nội, 1000001, Việt Nam",20.996,105.806,thanh xuân
"901, Đường Tam Trinh, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.973,105.866,hoàng mai
"91, Ngõ 77 Ngọc Trục, Phường Đại Mỗ, Quận Nam Từ Liêm, Thành phố Hà Nội, 120406, Việt Nam",20.991,105.771,nam từ liêm
"913, Đường Tam Trinh, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.972,105.867,hoàng mai
"91B, Phố Thợ Nhuộm, Trần Hưng Đạo, Phường Hàng Bài, Quận Hoàn Kiếm, Thành phố Hà Nội, 084 04, Việt Nam",21.022,105.85,hoàn kiếm
"92 Garden, 16, Ngõ 445 Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội, 1000, Việt Nam",21.059,105.808,tây hồ
"92, Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, 0000000, Việt Nam",21.015,105.785,nam từ liêm
"93, Ngõ 2 Tây Trà, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.977,105.882,hoàng mai
"93, Phố Vũ Tông Phan, Quận Thanh Xuân, Thành phố Hà Nội, 120911, Việt Nam",20.998,105.817,thanh xuân
"94 Võ Thị Sáu, Phố Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Thành phố Hà Nội, 11617, Việt Nam",21.004,105.855,hai bà trưng
"95 Cầu Giấy, 95, Ngõ 93 Cầu Giấy, Quận Cầu Giấy, Thành phố Hà Nội, 11150, Việt Nam",21.031,105.8,cầu giấy
"95, C2, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.975,105.835,hoàng mai
"95, Hoàng Tăng Bí, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Thành phố Hà Nội, 100000, Việt Nam",21.083,105.783,bắc từ liêm
"95, Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, +842435373535, Việt Nam",21.015,105.814,đống đa
"96, Phố Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Thành phố Hà Nội, 11622, Việt Nam",21.006,105.861,hai bà trưng
"96, Phố Quàng Khành, Quảng An, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội, 11200, Việt Nam",21.061,105.819,tây hồ
"97, Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Thành phố Hà Nội, 11617, Việt Nam",20.996,105.854,hai bà trưng
"97, Phố Nguyễn Tư Giản, Phúc Tân, Phường Phúc Tân, Quận Hoàn Kiếm, Thành phố Hà Nội, 111501, Việt Nam",21.038,105.855,hoàn kiếm
"98, Ngõ 521 Trương Định, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 1000000, Việt Nam",20.98,105.846,hoàng mai
"98, Phố Nam Dư, Hoàng Mai, Thành phố Hà Nội, 11622, Việt Nam",20.985,105.888,hoàng mai
"99, Phố Nguyễn Đình Thi, Thuỵ Khuê, Phường Thuỵ Khuê, Quận Tây Hồ, Thành phố Hà Nội, 124302, Việt Nam",21.044,105.822,tây hồ
"@Homes, 987, Đường Tam Trinh, Hoàng Mai, Thành phố Hà Nội, 11617, Việt Nam",20.968,105.868,hoàng mai
"A Long, Đường tỉnh 429, Thanh Oai, Thành phố Hà Nội, Việt Nam",20.818,105.765,
"A có, Đường tỉnh 429, Thanh Oai, Thành phố Hà Nội, Việt Nam",20.806,105.74,
"A huynh, Cầu Tri Lễ, Thanh Oai, Thành phố Hà Nội, Việt Nam",20.82,105.795,
"A hải, Quốc lộ 6, Chúc Sơn, Huyện Chương Mỹ, Thành phố Hà Nội, Việt Nam",20.924,105.7,
"A hội, Quốc lộ 21B, Huyện Ứng Hòa, Thành phố Hà Nội, Việt Nam",20.739,105.77,
"A kì ct, Phố Bùi Thiện Ngộ, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.059,105.909,long biên
"A long, Phố Thanh Lâm, Phường Minh Khai, Quận Bắc Từ Liêm, Thành phố Hà Nội, 24, Việt Nam",21.05,105.738,bắc từ liêm
"A lương, Quốc lộ 21B, Huyện Ứng Hòa, Thành phố Hà Nội, Việt Nam",20.712,105.768,
"A thức ct vh, Lưu Khánh Đàm, Phường Việt Hưng, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.061,105.909,long biên
"A trung, Quốc lộ 21B, Huyện Ứng Hòa, Thành phố Hà Nội, Việt Nam",20.71,105.768,
"A trường, Ngõ 332 Đường Hoàng Công Chất, Goldmark City, Phường Phú Diễn, Quận Bắc Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.046,105.769,bắc từ liêm
"A việt, Đường tỉnh 422, Xã Yên Sở, Huyện Hoài Đức, Thành phố Hà Nội, 01234, Việt Nam",21.039,105.655,
"A vũ, DT 419, Chúc Sơn, Huyện Chương Mỹ, Thành phố Hà Nội, Việt Nam",20.896,105.698,
"A Đại, Đường 428, Huyện Ứng Hòa, Thành phố Hà Nội, Việt Nam",20.731,105.772,
"A đạt, 29 lô 9, Phố Sài Đồng, Tổ 11 Sài Đồng, Sài Đồng, Phường Sài Đồng, Quận Long Biên, Thành phố Hà Nội, 08443, Việt Nam",21.038,105.91,long biên
"A đức, 189, Phố Sài Đồng, Tổ 11 Sài Đồng, Sài Đồng, Phường Sài Đồng, Quận Long Biên, Thành phố Hà Nội, 08443, Việt Nam",21.038,105.912,long biên
"A, , Giang Biên, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội, 08443, Việt Nam",21.055,105.911,long biên
"A1 - Vinhomes Gardenia, Phố Hàm Nghi, Vinhomes Gardenia, Phường Cầu Diễn, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.036,105.76,nam từ liêm
"A1, Nguyễn Quý Đức, Quận Thanh Xuân, Thành phố Hà Nội, 1000001, Việt Nam",20.993,105.797,thanh xuân
"A1, Đường Số 11, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội, 04, Việt Nam",21.051,105.779,bắc từ liêm
"A1, Đường cao tốc Pháp Vân - Cầu Giẽ, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.957,105.85,hoàng mai
"A108, Lô Nhà Vườn, Giang Biên, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.062,105.912,long biên
"A18, Ngõ 24 Hoàng Quốc Việt, Quận Cầu Giấy, Thành phố Hà Nội, 1000, Việt Nam",21.048,105.799,cầu giấy
"A18, S2, Quận Cầu Giấy, Thành phố Hà Nội, 1000, Việt Nam",21.048,105.8,cầu giấy
"A2 - Vinhomes Gardenia, Phố Hàm Nghi, Vinhomes Gardenia, Phường Cầu Diễn, Quận Nam Từ Liêm, Thành phố Hà Nội, 100925, Việt Nam",21.036,105.761,nam từ liêm
"A2, BT06, Phường Việt Hưng, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.061,105.911,long biên
"A20, Ngõ 68A Võ Chí Công, Phường Xuân La, Quận Cầu Giấy, Quận Tây Hồ, Thành phố Hà Nội, 1000, Việt Nam",21.055,105.806,tây hồ
"A25 Hotel, Phố Trúc Bạch, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, 100999, Việt Nam",21.045,105.842,ba đình
"A27, S1, Quận Cầu Giấy, Thành phố Hà Nội, 1000, Việt Nam",21.049,105.802,cầu giấy
"A3, Đường Số 12, Phường Cổ Nhuế 1, Quận Cầu Giấy, Quận Bắc Từ Liêm, Thành phố Hà Nội, 122863, Việt Nam",21.05,105.779,bắc từ liêm
"A4, Đường Số 12, Phường Cổ Nhuế 1, Quận Cầu Giấy, Quận Bắc Từ Liêm, Thành phố Hà Nội, 122863, Việt Nam",21.049,105.779,bắc từ liêm
"A5, Đường Số 12, Phường Cổ Nhuế 1, Quận Cầu Giấy, Quận Bắc Từ Liêm, Thành phố Hà Nội, 122863, Việt Nam",21.049,105.778,bắc từ liêm
"A6, Đường Số 1, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội, 04, Việt Nam",21.05,105.778,bắc từ liêm
"A6, Đường cao tốc Pháp Vân - Cầu Giẽ, Hoàng Mai, Hoàng Mai, Thành phố Hà Nội, 100000, Việt Nam",20.96,105.848,hoàng mai
"A8, Ngõ 24 Hoàng Quốc Việt, Quận Cầu Giấy, Thành phố Hà Nội, 1000, Việt Nam",21.047,105.799,cầu giấy
"A8, Đường Số 11, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Thành phố Hà Nội, 04, Việt Nam",21.051,105.778,bắc từ liêm
"A80, Lô Nhà Vườn, Giang Biên, Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội, 0947733060, Việt Nam",21.063,105.912,long biên
"A9, Ngõ Thông Phong, Phường Quốc Tử Giám, Đống Đa, Quận Đống Đa, Thành phố Hà Nội, 111103, Việt Nam",21.025,105.836,đống đa
"ACB, Phố Lê Thái Tổ, Hàng Trống, Phường Hàng Trống, Quận Hoàn Kiếm, Thành phố Hà Nội, 111000, Việt Nam",21.031,105.851,hoàn kiếm
"AEON Mall Long Biên, Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Thành phố Hà Nội, 0610, Việt Nam",21.026,105.899,long biên
"AHA Cafe, Phố Hoà Mã, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Thành phố Hà Nội, 043, Việt Nam",21.015,105.852,hai bà trưng
